gap,band,Company,What they are,Kind of business,HQ,Country,Staff (company),Capacity MW,Hyperscale focus,People we have mapped,Ward searches,Already linked to,Website,LinkedIn,Where the name came from,company_id
no connection at all,A · Big and blank,NextEra Energy Resources,DC developer / operator + Energy developer / utility,Energy / utility,"Juno Beach, Florida",Florida,"10,001+",,,78,,,https://www.nexteraenergyresources.com,https://www.linkedin.com/company/nextera-energy-resources/,Energy Developer,nextera-energy-resources
no connection at all,A · Big and blank,Olsson,Civil / land engineering,Construction / engineering,"Lincoln, Nebraska",Nebraska,"1,001 to 5,000",,,29,,,https://www.olsson.com,https://www.linkedin.com/company/weareolsson/,Civil Land Developers,olsson
no connection at all,A · Big and blank,Oxford Properties Group,Real estate & industrial developer,Real estate / industrial,"Toronto, Ontario",Ontario,"1,001-5,000",,,1,,,https://www.oxfordproperties.com,https://www.linkedin.com/company/oxford-properties-group/,Real Estate Developers USA,oxford-properties-group
no connection at all,A · Big and blank,Pattern Energy,Energy developer / utility,Energy / utility,"San Francisco, California",California,"501-1,000",,,14,,,https://www.patternenergy.com,https://www.linkedin.com/company/pattern-energy/,Energy Developer,pattern-energy
no connection at all,A · Big and blank,Pennoni Associates,Civil / land engineering,Construction / engineering,"Philadelphia, Pennsylvania",Pennsylvania,"1,001 to 5,000",,,1,,,https://www.pennoni.com,https://www.linkedin.com/company/pennoni/,Civil Land Developers,pennoni-associates
no connection at all,A · Big and blank,Pond & Company,Civil / land engineering,Construction / engineering,"Peachtree Corners, Georgia",Georgia,"501 to 1,000",,,2,,,https://www.pondco.com,https://www.linkedin.com/company/pond-and-company/,Civil Land Developers,pond-company
no connection at all,A · Big and blank,Quiddity,Civil / land engineering,Construction / engineering,"Houston, Texas",Texas,"501 to 1,000",,,25,,,https://quiddity.com,https://www.linkedin.com/company/quiddity-engineering/,Civil Land Developers,quiddity
no connection at all,A · Big and blank,RES,Energy developer / utility,Energy / utility,"Broomfield, Colorado",Colorado,"1,001-5,000",,,16,,,https://www.res-group.com,https://www.linkedin.com/company/res-group/,Energy Developer,res
no connection at all,A · Big and blank,RS&H,Civil / land engineering,Construction / engineering,"Jacksonville, Florida",Florida,"1,001 to 5,000",,,2,,,https://www.rsandh.com,https://www.linkedin.com/company/rs-h/,Civil Land Developers,rs-h
no connection at all,A · Big and blank,Smith Group,Civil / land engineering,Construction / engineering,"Detroit, Michigan",Michigan,"1,001 to 5,000",,,1,,,https://www.smithgroup.com,https://www.linkedin.com/company/smithgroup/,Civil Land Developers,smith-group
no connection at all,A · Big and blank,Southland Industries,Civil / land engineering,Construction / engineering,"Garden Grove, California",California,"5,001 to 10,000",,,2,,,https://www.southlandind.com,https://www.linkedin.com/company/southland-industries/,Civil Land Developers,southland-industries
no connection at all,A · Big and blank,Stantec,Civil / land engineering,Construction / engineering,Edmonton,Edmonton,"10,001+",,,30,,,https://www.stantec.com,https://www.linkedin.com/company/stantec/,Civil Land Developers,stantec
no connection at all,A · Big and blank,STV,Civil / land engineering,Construction / engineering,New York,New York,"1,001 to 5,000",,,4,,,https://www.stvinc.com,https://www.linkedin.com/company/stv/,Civil Land Developers,stv
no connection at all,A · Big and blank,TD Industries,Civil / land engineering,Construction / engineering,"Dallas, Texas",Texas,"1,001 to 5,000",,,2,,,https://www.tdindustries.com,https://www.linkedin.com/company/td-industries/,Civil Land Developers,td-industries
no connection at all,A · Big and blank,Terracon Consultants,Civil / land engineering,Construction / engineering,"Olathe, Kansas",Kansas,"1,001 to 5,000",,,,,,https://www.terracon.com,https://www.linkedin.com/company/terracon/,Civil Land Developers,terracon-consultants
no connection at all,A · Big and blank,TerraSmart,Energy developer / utility,Energy / utility,"Fort Myers, Florida",Florida,"501-1,000",,,,,,https://www.terrasmart.com,https://www.linkedin.com/company/terrasmart/,Energy Developer,terrasmart
no connection at all,A · Big and blank,Tetra Tech,Civil / land engineering,Construction / engineering,"Pasadena, California",California,"10,001+",,,20,,,https://www.tetratech.com,https://www.linkedin.com/company/tetra-tech/,Civil Land Developers,tetra-tech
no connection at all,A · Big and blank,The Opus Group,Real estate & industrial developer,Real estate / industrial,"Minnetonka, Minnesota",Minnesota,"501-1,000",,,10,,,https://www.opuscorp.com,https://www.linkedin.com/company/the-opus-group/,Real Estate Developers USA,the-opus-group
no connection at all,A · Big and blank,Thornton Tomasetti,Civil / land engineering,Construction / engineering,New York,New York,"1,001 to 5,000",,,,,,https://www.thorntontomasetti.com,https://www.linkedin.com/company/thornton-tomasetti/,Civil Land Developers,thornton-tomasetti
no connection at all,A · Big and blank,Trammell Crow Company,Real estate & industrial developer,Real estate / industrial,"Dallas, Texas",Texas,"1,001-5,000",,,41,,,https://www.trammellcrow.com,https://www.linkedin.com/company/trammell-crow-company/,Real Estate Developers USA,trammell-crow-company
no connection at all,A · Big and blank,Transwestern Development,Real estate & industrial developer,Real estate / industrial,"Houston, Texas",Texas,"1,001-5,000",,,,,,https://www.transwestern.com,https://www.linkedin.com/company/transwestern/,Real Estate Developers USA,transwestern-development
no connection at all,A · Big and blank,Tri-State Generation and Transmission Association,Energy developer / utility,Energy / utility,"Westminster, Colorado",Colorado,"1,001-5,000",,,,,,https://www.tristate.coop,https://www.linkedin.com/company/tri-state-g-t/,Energy Developer,tri-state-generation-and-transmission-association
no connection at all,A · Big and blank,United States Cold Storage (USCS),Real estate & industrial developer,Real estate / industrial,"Cherry Hill, New Jersey",New Jersey,"1,001-5,000",,,,,,https://www.uscold.com,https://www.linkedin.com/company/united-states-cold-storage/,Cold Storage & Industrial Developers,united-states-cold-storage
no connection at all,A · Big and blank,University Mechanical Contractors (UMC),Civil / land engineering,Construction / engineering,"Mukilteo, Washington",Washington,"1,001 to 5,000",,,,,,https://www.umci.com,https://www.linkedin.com/company/umc-inc/,Civil Land Developers,university-mechanical-contractors
no connection at all,A · Big and blank,Verdantas,Civil / land engineering,Construction / engineering,"Dublin, Ohio",Ohio,"1,001 to 5,000",,,,,,https://www.verdantas.com,https://www.linkedin.com/company/verdantas/,Civil Land Developers,verdantas
no connection at all,A · Big and blank,VersaCold Logistics Services,Real estate & industrial developer,Real estate / industrial,"Vancouver, British Columbia",British Columbia,"1,001-5,000",,,,,,https://www.versacold.com,https://www.linkedin.com/company/versacold/,Cold Storage & Industrial Developers,versacold-logistics-services
no connection at all,A · Big and blank,Walter P Moore,Civil / land engineering,Construction / engineering,"Houston, Texas",Texas,"501 to 1,000",,,,,,https://www.walterpmoore.com,https://www.linkedin.com/company/walter-p-moore/,Civil Land Developers,walter-p-moore
no connection at all,A · Big and blank,Webcor,General contractor + Civil / land engineering,Construction / engineering,"San Mateo, California",California,"1,001 to 5,000",,,4,,,https://www.webcor.com,https://www.linkedin.com/company/webcor/,General Contractors USA; Civil Land Developers,webcor
no connection at all,A · Big and blank,Western Area Power Administration,Energy developer / utility,Energy / utility,"Lakewood, Colorado",Colorado,"1,001-5,000",,,4,,,https://www.wapa.gov,https://www.linkedin.com/company/western-area-power-administration/,Energy Developer,western-area-power-administration
no connection at all,A · Big and blank,Westwood Professional Services,Civil / land engineering,Construction / engineering,"Plano, Texas",Texas,"1,001 to 5,000",,,35,,,https://www.westwoodps.com,https://www.linkedin.com/company/westwood-professional-services/,Civil Land Developers,westwood-professional-services
no connection at all,A · Big and blank,WSP,Civil / land engineering + General contractor,Construction / engineering,New York,New York,"10,001+",,,25,,,https://www.wsp.com,https://www.linkedin.com/company/wsp/,Civil Land Developers; General Contractors USA,wsp
no connection at all,B · Worth a look,Fermaca,DC developer / operator,Pure-play data center,,,,250,,,,,,,Data Centre Developer,fermaca
no connection at all,B · Worth a look,Convergent VA LLC,DC developer / operator,Pure-play data center,,,,240,,,,,,,Data Centre Developer,convergent-va-llc
no connection at all,B · Worth a look,DataGrid,DC developer / operator,Pure-play data center,,,,240,Secondary Focus,,,,,,Data Centre Developer,datagrid
no connection at all,B · Worth a look,NeutraDC,DC developer / operator,Pure-play data center,"Tangerang Selatan, Indonesia",Indonesia,201-500,232,,,,,https://neutradc.com/,https://www.linkedin.com/company/neutradc/,Data Centre Developer,neutradc
no connection at all,B · Worth a look,CR1/Culpeper LLC and CR2/Culpeper LLC,DC developer / operator,Pure-play data center,,,,230,,,,,,,Data Centre Developer,cr1-culpeper-llc-and-cr2-culpeper-llc
no connection at all,B · Worth a look,NorthPoint Development,DC developer / operator + Real estate & industrial developer,Real estate / industrial,"Kansas, Missouri, United States",United States,201-500,230,,1,,,http://www.BeyondTheContract.com,https://www.linkedin.com/company/northpoint-development/,Cold Storage & Industrial Developers; Data Centre Developer; Real Estate Developers USA,northpoint-development
no connection at all,B · Worth a look,Shenandoah Computing LLC,DC developer / operator,Pure-play data center,"Shanghai, China",China,,230,,,,,https://www.datacenterdynamics.com/en/tags/shenandoah-computing-llc/,,Data Centre Developer,shenandoah-computing-llc
no connection at all,B · Worth a look,Tecto,DC developer / operator,Pure-play data center,Brazil,Brazil,51-200,225,,4,,,www.tecto.com,https://www.linkedin.com/company/tecto-datacenters/,Data Centre Developer,tecto
no connection at all,B · Worth a look,Aofei Data Technology,DC developer / operator,Pure-play data center,,,,220,,,,,https://www.aofidc.com/,,Data Centre Developer,aofei-data-technology
no connection at all,B · Worth a look,Scale42,DC developer / operator,Pure-play data center,"Horsham, United Kingdom",United Kingdom,1 to 10,220,Primary Focus,,,,https://www.scale-42.com,https://www.linkedin.com/company/scale42/,Data Centre Developer,scale42
no connection at all,B · Worth a look,Grupo SAMCA,DC developer / operator,Pure-play data center,,,,216,,,,,,,Data Centre Developer,grupo-samca
no connection at all,B · Worth a look,Atlas Capital Group,DC developer / operator,Pure-play data center,"New York, United States",United States,51-200,209,,,,,www.atlas-cap.com,https://www.linkedin.com/company/atlascapitalgroupllc/,Data Centre Developer,atlas-capital-group
no connection at all,B · Worth a look,Range Technology,DC developer / operator,Pure-play data center,"Los Gatos, California, United States",United States,1 to 10,205,,,,,http://www.rangetechnology.com,https://www.linkedin.com/company/range-technology/,Data Centre Developer,range-technology
no connection at all,B · Worth a look,PDC Realty LLC,DC developer / operator,Pure-play data center,"Chicago, Illinois, United States",United States,,204,,,,,https://www.pdccompanies.com/,,Data Centre Developer,pdc-realty-llc
no connection at all,B · Worth a look,DC-Science,DC developer / operator,Pure-play data center,,,,202,,,,,,,Data Centre Developer,dc-science
no connection at all,B · Worth a look,Alto Infrastructure (Sierra DC),DC developer / operator,Pure-play data center,"Barcelona, Spain",Spain,11 to 50,200,,,,,https://sierra-dc.com/,https://www.linkedin.com/company/sierradc/,Data Centre Developer,alto-infrastructure
no connection at all,B · Worth a look,Anant Raj Cloud,DC developer / operator,Pure-play data center,New Delhi,New Delhi,201-500,200,,,,,www.anantrajcloud.com,https://www.linkedin.com/company/anantraj-cloud/,Data Centre Developer,anant-raj-cloud
no connection at all,B · Worth a look,Anchorstone Advisors SOVA,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,51-200,200,,,,,https://www.datacenterdynamics.com/en/tags/anchorstone-advisors-sova/,https://www.linkedin.com/company/datacenterdynamics/,Data Centre Developer,anchorstone-advisors-sova
no connection at all,B · Worth a look,Duos Edge AI,NeoCloud / AI infra,Pure-play data center,"Jacksonvlle, Florida",Florida,11 to 50,200,,,,,https://duosedge.ai/,https://www.linkedin.com/company/duos-edge-ai/,Data Centre Developer,duos-edge-ai
no connection at all,B · Worth a look,Gibo,DC developer / operator,Pure-play data center,,,,200,,,,,,,Data Centre Developer,gibo
no connection at all,B · Worth a look,Green Data City,DC developer / operator,Pure-play data center,Salalah,Salalah,11 to 50,200,,,,,https://www.greendatacity.com/,https://www.linkedin.com/company/green-data-city/,Data Centre Developer,green-data-city
no connection at all,B · Worth a look,OMNIA,DC developer / operator,Pure-play data center,"Dubai, United Arab Emirates",United Arab Emirates,51-200,200,,2,,,https://www.omnia.ae,https://www.linkedin.com/company/omnia/,Data Centre Developer,omnia
no connection at all,B · Worth a look,Solano,DC developer / operator,Pure-play data center,"San Francisco, California, United States",United States,,200,,,,,https://solana.com/,,Data Centre Developer,solano
no connection at all,B · Worth a look,TM Nxera,DC developer / operator,Pure-play data center,"Iskandar Puteri, Johor, Malaysia",Malaysia,11 to 50,200,Secondary Focus,,,,https://www.tmnxera.com/home,https://www.linkedin.com/company/tmnxera/?originalSubdomain=my,Data Centre Developer,tm-nxera
no connection at all,B · Worth a look,AmpTank,DC developer / operator,Pure-play data center,Finland,Finland,10001,198,,,,,https://amptank.energy/,,Data Centre Developer,amptank
no connection at all,B · Worth a look,Mulberry Commercial Developments II Ltd,DC developer / operator,Pure-play data center,,,,192,,,,,,,Data Centre Developer,mulberry-commercial-developments-ii-ltd
no connection at all,B · Worth a look,PowerTransitions,DC developer / operator,Pure-play data center,"Houston, Texas, United States",United States,11 to 50,192,,,,,https://www.power-transitions.com/,https://www.linkedin.com/company/powertransitions/,Data Centre Developer,powertransitions
no connection at all,B · Worth a look,Hotwon Group,DC developer / operator,Pure-play data center,,,,191,,,,,,,Data Centre Developer,hotwon-group
no connection at all,B · Worth a look,Thylander,DC developer / operator,Pure-play data center,"Copenhagen, Denmark",Denmark,1 to 10,190,,,,,https://thylander.dk/,https://www.linkedin.com/company/thylander-data-centers/,Data Centre Developer,thylander
no connection at all,B · Worth a look,"SpotsyTechnoCampus, LLC",DC developer / operator,Pure-play data center,"Spotsylvania, Virginia, United States",United States,,189,,,,,https://www.spotsytech.com/,,Data Centre Developer,spotsytechnocampus-llc
no connection at all,B · Worth a look,Chayora,DC developer / operator,Pure-play data center,"Hong Kong, China",China,11 to 50,186,Primary Focus,,,,https://www.chayora.com,https://www.linkedin.com/company/chayora/,Data Centre Developer,chayora
no connection at all,B · Worth a look,SKYY Development,DC developer / operator,Pure-play data center,"Tokyo, Japan",Japan,11 to 50,185,,1,,,,https://www.linkedin.com/company/skyydevelopment/,Data Centre Developer,skyy-development
no connection at all,B · Worth a look,L&T Cloudfiniti,DC developer / operator,Pure-play data center,"Mumbai, Maharashtra, India",India,51-200,182,,,,,https://lntcloudfiniti.com/,https://www.linkedin.com/company/larsentoubrovyoma/,Data Centre Developer,l-t-cloudfiniti
no connection at all,B · Worth a look,Decennial Group,DC developer / operator,Pure-play data center,"Chicago, Illinois, United States",United States,1 to 10,180,,,,,http://www.decennialgroup.com,https://www.linkedin.com/company/decennial-group/,Data Centre Developer,decennial-group
no connection at all,B · Worth a look,Lumina,DC developer / operator,Pure-play data center,"Halethorpe, Maryland, United States",United States,51-200,180,,,,,https://linktr.ee/lumina_solar,https://www.linkedin.com/company/lumina-solar/,Data Centre Developer,lumina
no connection at all,B · Worth a look,PBA Holdings,DC developer / operator,Pure-play data center,,,,176,,,,,,,Data Centre Developer,pba-holdings
no connection at all,B · Worth a look,Digital Halo,DC developer / operator,Pure-play data center,,,11 to 50,175,,,,,www.digital-halo.net,https://www.linkedin.com/company/digital-halo/,Data Centre Developer,digital-halo
no connection at all,B · Worth a look,Project West WHP - GA LLC,DC developer / operator,Pure-play data center,,,,175,,,,,,,Data Centre Developer,project-west-whp-ga-llc
no connection at all,B · Worth a look,Africa Data Centres,DC developer / operator,Pure-play data center,Johannesburg,Johannesburg,201-500,175,,1,,,http://africadatacentres.com/,https://www.linkedin.com/company/africadatacentres/,Data Centre Developer,africa-data-centres
no connection at all,B · Worth a look,eStruxture,DC developer / operator,Pure-play data center,"Montreal, Canada",Canada,51-200,170,,2,,,https://www.estruxture.com/,https://www.linkedin.com/company/estruxture/,Data Centre Developer,estruxture
no connection at all,B · Worth a look,Epoch Digital,DC developer / operator,Pure-play data center,,,51-200,170,Primary Focus,,,,https://www.epochdigital.org/,https://www.linkedin.com/company/epochdigitalorg/,Data Centre Developer,epoch-digital
no connection at all,B · Worth a look,Bitzero,NeoCloud / AI infra,Pure-play data center,"Vancouver, Canada",Canada,,169,,,,,https://bitzero.com/,,Data Centre Developer,bitzero
no connection at all,B · Worth a look,Spalding Investments LLC,DC developer / operator,Pure-play data center,,,,166,,,,,,,Data Centre Developer,spalding-investments-llc
no connection at all,B · Worth a look,STT Global Data Centres Thailand,DC developer / operator,Pure-play data center,,,,166,,,,,,,Data Centre Developer,stt-global-data-centres-thailand
no connection at all,B · Worth a look,ePLDT,DC developer / operator,Pure-play data center,,,,165,,,,,,,Data Centre Developer,epldt
no connection at all,B · Worth a look,Universal Planning LLC,DC developer / operator,Pure-play data center,,,,163,,,,,,,Data Centre Developer,universal-planning-llc
no connection at all,B · Worth a look,Alfanar Global Development,DC developer / operator,Pure-play data center,,,,160,,,,,,,Data Centre Developer,alfanar-global-development
no connection at all,B · Worth a look,Galaxy Peak Data Center,DC developer / operator,Pure-play data center,,,,160,,,,,https://www.galaxypeak.com,,Data Centre Developer,galaxy-peak-data-center
no connection at all,B · Worth a look,SNC Data Hills,DC developer / operator,Pure-play data center,,,,160,,,,,,,Data Centre Developer,snc-data-hills
no connection at all,B · Worth a look,DataNovaX,DC developer / operator,Pure-play data center,"Wichita Falls, Texas, United States",United States,1 to 10,156,,,,,https://datanovax.com/,https://www.linkedin.com/company/datanovax/,Data Centre Developer,datanovax
no connection at all,B · Worth a look,Hoyinn Technologies,DC developer / operator,Pure-play data center,"Beijing, China",China,,150,,,,,https://www.hoyinn.com/en/index.html,,Data Centre Developer,hoyinn-technologies
no connection at all,B · Worth a look,PPG PP Grid,DC developer / operator,Pure-play data center,,,,150,,,,,,,Data Centre Developer,ppg-pp-grid
no connection at all,B · Worth a look,STT GDC The Philippines,DC developer / operator,Pure-play data center,,,,148,,,,,,,Data Centre Developer,stt-gdc-the-philippines
no connection at all,B · Worth a look,AT TOKYO,DC developer / operator,Pure-play data center,,,201-500,146,,,,,https://www.attokyo.com/,https://www.linkedin.com/company/-tokyo/,Data Centre Developer,at-tokyo
no connection at all,B · Worth a look,BW Digital,DC developer / operator,Pure-play data center,Auckland,Auckland,11 to 50,144,Primary Focus,,,,https://www.bw-digital.com/,https://www.linkedin.com/company/bw-digital-ltd/,Data Centre Developer,bw-digital
no connection at all,B · Worth a look,EngineNode,DC developer / operator,Pure-play data center,,,,144,,,,,,,Data Centre Developer,enginenode
no connection at all,B · Worth a look,Tritax,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,51-200,144,Secondary Focus,,,,http://www.tritax.co.uk/,https://www.linkedin.com/company/tritax-group/,Data Centre Developer,tritax
no connection at all,B · Worth a look,Open DC,DC developer / operator,Pure-play data center,"Putrajaya, Malaysia",Malaysia,51-200,143,,,,,http://www.opendc.my,https://www.linkedin.com/company/open-dc-sdn-bhd/,Data Centre Developer,open-dc
no connection at all,B · Worth a look,GI Partners,DC developer / operator,Pure-play data center,United States,United States,,140,Secondary Focus,1,,,http://www.gipartners.com,https://www.linkedin.com/company/gi-partners/,Data Centre Developer,gi-partners
no connection at all,B · Worth a look,Turning Point Real Estate,DC developer / operator,Pure-play data center,"Frederick, Maryland, United States",United States,1 to 10,140,,,,,http://www.TurningPointRealEstate.com,https://www.linkedin.com/company/turning-point-real-estate/,Data Centre Developer,turning-point-real-estate
no connection at all,B · Worth a look,STT GDC Malaysia,DC developer / operator,Pure-play data center,,,,137,,,,,,,Data Centre Developer,stt-gdc-malaysia
no connection at all,B · Worth a look,SAMX,DC developer / operator,Pure-play data center,"Cairo, Egypt",Egypt,1 to 10,135,,,,,,https://www.linkedin.com/company/samxeg/,Data Centre Developer,samx
no connection at all,B · Worth a look,Leuk Teleport & Data Centre AG,DC developer / operator,Pure-play data center,"Leuk, Switzerland",Switzerland,11 to 50,134,,,,,https://leuk-tdc.com/,https://www.linkedin.com/company/leuk-tdc/,Data Centre Developer,leuk-teleport-data-centre-ag
no connection at all,B · Worth a look,evroc,DC developer / operator,Pure-play data center,,,,132,,,,,,,Data Centre Developer,evroc
no connection at all,B · Worth a look,Portland Trust,DC developer / operator,Pure-play data center,"Prague, Czech Republic",Czech Republic,11 to 50,129,,,,,http://www.portlandtrust.cz,https://www.linkedin.com/company/portlandtrust/,Data Centre Developer,portland-trust
no connection at all,B · Worth a look,Rostelecom Data Centers,DC developer / operator,Pure-play data center,"Moscow, Russia",Russia,51-200,126,,,,,http://www.rtk-dc.ru,https://www.linkedin.com/company/rostelecom-data-centres/,Data Centre Developer,rostelecom-data-centers
no connection at all,B · Worth a look,Franks Investment Co. LLC,DC developer / operator,Pure-play data center,,,201-500,122,,,,,,https://www.linkedin.com/company/franks-international,Data Centre Developer,franks-investment-co-llc
no connection at all,B · Worth a look,DigiCo,DC developer / operator,Pure-play data center,Surrey,Surrey,51-200,122,Primary Focus,,,,http://www.digico.biz,https://www.linkedin.com/company/digico/,Data Centre Developer,digico
no connection at all,B · Worth a look,Beyond.pl,DC developer / operator,Pure-play data center,,,51-200,121,,,,,https://www.beyond.pl/en/,https://www.linkedin.com/company/beyond-pl-cloud-and-data-center/,Data Centre Developer,beyond-pl
no connection at all,B · Worth a look,Evolution Data Centres,DC developer / operator,Pure-play data center,,,1 to 10,121,,,,,http://www.evolutiondatacentres.com,https://www.linkedin.com/company/evolution-data-centres/,Data Centre Developer,evolution-data-centres
no connection at all,B · Worth a look,Agility,DC developer / operator,Pure-play data center,,,,120,,,,,,,Data Centre Developer,agility
no connection at all,B · Worth a look,Australia Sunshine Developments,DC developer / operator,Pure-play data center,London,London,51-200,120,,,,,https://www.dcbyte.com/company/australia-sunshine-developments/,https://www.linkedin.com/company/dc-byte/,Data Centre Developer,australia-sunshine-developments
no connection at all,B · Worth a look,Ezditek,DC developer / operator,Pure-play data center,Riyadh,Riyadh,51-200,120,,1,,,https://ezditek.com/,https://www.linkedin.com/company/ezditek/,Data Centre Developer,ezditek
no connection at all,B · Worth a look,Archer Data Centers,DC developer / operator,Pure-play data center,"Old Westbury, New York, United States",United States,1 to 10,120,,,,,https://www.archerdatacenters.com/,https://www.linkedin.com/company/archer-datacenters/,Data Centre Developer,archer-data-centers
no connection at all,B · Worth a look,Ascendas REIT,DC developer / operator,Pure-play data center,,,10001,118,Secondary Focus,,,,https://www.capitaland-ascendasreit.com/en.html,https://www.linkedin.com/company/capitaland-limited/,Data Centre Developer,ascendas-reit
no connection at all,B · Worth a look,Actis,DC developer / operator,Pure-play data center,"London, United Kingdom",United Kingdom,201-500,118,Primary Focus,1,2,,http://www.act.is,https://www.linkedin.com/company/actis/,Data Centre Developer,actis
no connection at all,B · Worth a look,Nabiax,DC developer / operator,Pure-play data center,"Madrid, Spain",Spain,11 to 50,116,,2,,,https://nabiax.com/,https://www.linkedin.com/company/nabiax/,Data Centre Developer,nabiax
no connection at all,B · Worth a look,Cloud Carrier,DC developer / operator,Pure-play data center,"Bella Vista, New South Wales, Australia",Australia,11 to 50,113,,,,,https://cloudcarrier.com,https://www.linkedin.com/company/cloud-carrier/,Data Centre Developer,cloud-carrier
no connection at all,B · Worth a look,Center3,DC developer / operator,Pure-play data center,Riyadh,Riyadh,10001,111,,3,,,https://center3.com,https://www.linkedin.com/company/center3/,Data Centre Developer,center3
no connection at all,B · Worth a look,Huawei Cloud,Hyperscaler,Pure-play data center,"Shenzhen, China",China,10001,111,Secondary Focus,,,,https://www.huaweicloud.com/intl/en-us/,https://www.linkedin.com/showcase/huaweicloudservice/,Data Centre Developer,huawei-cloud
no connection at all,B · Worth a look,Foxconn Technology,DC developer / operator,Pure-play data center,,,,106,,,,,,,Data Centre Developer,foxconn-technology
no connection at all,B · Worth a look,Anan,DC developer / operator,Pure-play data center,,,,105,,,,,,,Data Centre Developer,anan
no connection at all,B · Worth a look,Red Ace Capital Management,DC developer / operator,Pure-play data center,"Dallas, Texas, United States",United States,1 to 10,104,,,,,http://www.redacecapital.com,https://www.linkedin.com/company/redacecapitalmanagement/,Data Centre Developer,red-ace-capital-management
no connection at all,B · Worth a look,Phoenix Michigan City Industrial Investors LLC,DC developer / operator,Pure-play data center,,,,102,,,,,,,Data Centre Developer,phoenix-michigan-city-industrial-investors-llc
no connection at all,B · Worth a look,Data Journey,DC developer / operator,Pure-play data center,"Montgomery, Texas, United States",United States,11 to 50,100,,,,,https://www.datajourney.com,https://www.linkedin.com/company/data-journey-official/,Data Centre Developer,data-journey
no connection at all,B · Worth a look,GIGA-42,DC developer / operator,Pure-play data center,London,London,1 to 10,100,,,,,https://giga-42.com/,https://www.linkedin.com/company/giga42/,Data Centre Developer,giga-42
no connection at all,B · Worth a look,Hexatoff Group,DC developer / operator,Pure-play data center,,,,100,,,,,,,Data Centre Developer,hexatoff-group
no connection at all,B · Worth a look,Kalinda IT,DC developer / operator,Pure-play data center,"Zurich, Switzerland",Switzerland,1 to 10,100,,,,,,https://www.linkedin.com/company/kalindafamily/,Data Centre Developer,kalinda-it
no connection at all,B · Worth a look,Pacific Partnerships,DC developer / operator,Pure-play data center,"North Sydney, New South Wales, Australia",Australia,10001,100,,,,,http://www.pacificpartnerships.com.au,https://www.linkedin.com/company/pacific-partnerships/,Data Centre Developer,pacific-partnerships
no connection at all,B · Worth a look,Patmos,DC developer / operator,Pure-play data center,"Kansas, Missouri, United States",United States,51-200,100,,,,,https://patmos.tech,https://www.linkedin.com/company/patmoshosting/,Data Centre Developer,patmos
no connection at all,B · Worth a look,Northern Data,NeoCloud / AI infra,Pure-play data center,"Cape Town, South Africa",South Africa,11 to 50,96,,1,,,http://www.northerndata.co.za,https://www.linkedin.com/company/northerndata/,Data Centre Developer,northern-data
no connection at all,B · Worth a look,Layer 9 data centers,DC developer / operator,Pure-play data center,"Phoenix, Arizona, United States",United States,11 to 50,96,,,,,https://layer9dc.com,https://www.linkedin.com/company/layer-9-data-centers/,Data Centre Developer,layer-9-data-centers
no connection at all,B · Worth a look,MMM Acquisitions,DC developer / operator,Pure-play data center,,,,96,,,,,,,Data Centre Developer,mmm-acquisitions
no connection at all,B · Worth a look,Olkaria EcoCloud Data Center,DC developer / operator,Pure-play data center,"Naivasha, Kenya",Kenya,1 to 10,96,,,,,https://ecocloud.co.ke/,https://www.linkedin.com/company/olkariaecocloud/?originalSubdomain=ke,Data Centre Developer,olkaria-ecocloud-data-center
no connection at all,B · Worth a look,QScale,DC developer / operator,Pure-play data center,"Levis, Canada",Canada,51-200,96,,,,,https://qscale.com,https://www.linkedin.com/company/qscale/,Data Centre Developer,qscale
no connection at all,B · Worth a look,Atman,DC developer / operator,Pure-play data center,,,,95,,,,,,https://www.linkedin.com/products/feldspartech-atman/,Data Centre Developer,atman
no connection at all,B · Worth a look,NTT Communications Corporation,DC developer / operator,Pure-play data center,"Tokyo, Japan",Japan,,92,,,,,https://www.ntt.com/en/index.html,,Data Centre Developer,ntt-communications-corporation
no connection at all,B · Worth a look,Oppidan Investment Company,DC developer / operator,Pure-play data center,"Excelsior, Minnesota, United States",United States,11 to 50,86,,3,,,http://www.oppidan.com,https://www.linkedin.com/company/oppidan-investment-company/,Data Centre Developer,oppidan-investment-company
no connection at all,B · Worth a look,MEEZA,DC developer / operator,Pure-play data center,"Ontario, Canada",Canada,1 to 10,85,,,,,http://www.meeza-group.com/products.html,https://www.linkedin.com/company/meeza-group/,Data Centre Developer,meeza
no connection at all,B · Worth a look,Blueprint Data Centers,DC developer / operator,Pure-play data center,"Austin, Texas, United States",United States,1 to 10,85,,1,,,https://www.blueprint-dc.com/,https://www.linkedin.com/company/blueprint-data-centers/,Data Centre Developer,blueprint-data-centers
no connection at all,B · Worth a look,Green Energy Partners,DC developer / operator,Pure-play data center,Lupfig,Lupfig,201-500,85,,1,,,https://water2.energy/,https://www.linkedin.com/company/green-ch-datacenter/,Data Centre Developer,green-energy-partners
no connection at all,B · Worth a look,IXcellerate,DC developer / operator,Pure-play data center,"Moscow, Russia",Russia,51-200,83,,,,,https://www.ixcellerate.ru,https://www.linkedin.com/company/ixcellerate/,Data Centre Developer,ixcellerate
